"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","g_hora","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_2","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","estado_pil"
"4060",4060,10,2,7,15,3,1,111,2,99,1,50,9,1,9,3,9999,5,44,9
"4061",4061,10,2,7,11,2,20,2001,2,99,9,999,12,9,99,99,9999,5,99,9
"4062",4062,10,2,7,22,4,20,2001,2,99,9,999,12,9,99,99,9999,5,99,9
"4063",4063,10,2,7,18,4,5,505,2,99,1,39,6,1,6,2,1989,5,15,1
"4064",4064,10,2,7,16,3,5,509,2,99,9,999,12,9,99,99,9999,5,99,9
"4065",4065,10,2,7,17,3,5,512,2,99,9,999,12,9,99,99,9999,5,99,9
"4066",4066,10,2,7,19,4,10,1001,2,99,9,999,12,9,99,99,9999,5,99,9
"4067",4067,10,2,7,21,4,11,1101,2,99,9,999,12,9,99,99,9999,5,99,9
"4068",4068,10,2,7,16,3,2,203,2,99,9,999,12,9,99,99,9999,5,99,9
"4069",4069,10,2,7,6,2,18,1801,2,99,9,999,12,9,99,99,9999,5,99,9
"4070",4070,10,2,7,17,3,17,1701,2,99,9,999,12,9,99,99,9999,5,99,9
"4071",4071,10,2,7,9,2,3,307,2,99,1,65,11,1,3,3,1988,5,37,9
"4072",4072,11,2,1,21,4,1,101,1,11,1,50,9,1,1,4,2009,5,42,1
"4073",4073,11,2,1,21,4,20,2001,1,11,1,35,6,1,1,4,9999,5,34,1
"4074",4074,11,2,1,14,3,5,501,2,99,1,18,2,1,3,16,9999,5,44,1
"4075",4075,11,2,1,14,3,10,1010,2,99,1,29,4,1,3,99,9999,5,13,2
"4076",4076,11,2,1,17,3,9,901,2,99,1,18,2,1,4,5,9999,5,40,1
"4077",4077,11,2,1,19,4,16,1601,2,99,9,999,12,9,4,99,9999,5,99,9
"4078",4078,11,2,1,16,3,18,1805,2,99,9,999,12,9,1,99,9999,5,99,9
"4079",4079,11,2,1,17,3,18,1805,2,99,9,999,12,9,4,99,9999,5,99,9
"4080",4080,11,2,1,19,4,4,415,2,99,9,999,12,9,1,99,9999,5,99,9
"4081",4081,12,2,2,15,3,1,101,1,9,1,22,3,1,4,3,9999,5,42,9
"4082",4082,12,2,2,8,2,22,2201,2,99,2,24,3,1,4,1,9999,5,42,9
"4083",4083,12,2,2,3,1,5,504,2,99,9,999,12,9,99,99,9999,5,99,9
"4084",4084,12,2,2,7,2,18,1801,1,99,9,999,12,9,1,99,9999,5,99,9
"4085",4085,12,2,2,21,4,7,719,2,99,9,999,12,9,99,99,9999,5,99,9
"4086",4086,12,2,2,22,4,3,312,2,99,9,999,12,9,99,99,9999,5,99,9
"4087",4087,13,2,3,14,3,1,101,1,4,1,50,9,1,3,9,1995,5,44,1
"4088",4088,13,2,3,19,4,1,101,1,6,1,16,2,2,4,1,2009,5,24,1
"4089",4089,13,2,3,10,2,1,115,1,1,1,50,9,1,6,2,1996,5,13,1
"4090",4090,13,2,3,18,4,20,2001,1,2,9,999,12,9,99,99,9999,5,99,9
"4091",4091,13,2,3,19,4,10,1002,2,99,9,999,12,9,6,99,9999,5,15,9
"4092",4092,13,2,3,21,4,7,713,2,99,9,999,12,9,99,99,9999,5,99,9
"4093",4093,13,2,3,7,2,4,416,2,99,1,25,4,1,3,2,2011,5,37,1
"4094",4094,13,2,3,18,4,4,401,1,2,9,999,12,9,99,99,9999,5,99,9
"4095",4095,14,2,4,19,4,1,114,2,99,9,999,12,9,99,99,9999,5,99,9
"4096",4096,14,2,4,22,4,19,1904,1,99,9,999,12,9,99,99,9999,5,99,9
"4097",4097,14,2,4,4,1,4,401,2,99,9,999,12,9,6,99,9999,5,99,9
"4098",4098,15,2,5,20,4,1,101,1,5,1,23,3,1,4,3,9999,5,42,2
"4099",4099,15,2,5,20,4,1,101,1,11,1,52,9,1,12,1,1990,5,19,1
"4100",4100,15,2,5,18,4,1,101,1,7,1,17,2,2,4,3,2006,5,2,2
"4101",4101,15,2,5,23,4,1,101,1,12,1,32,5,1,1,4,9999,5,99,9
"4102",4102,15,2,5,23,4,1,101,1,12,2,22,3,1,1,4,9999,5,99,9
"4103",4103,15,2,5,23,4,20,2001,2,99,9,999,12,9,3,2,9999,5,99,9
"4104",4104,15,2,5,19,4,10,1011,2,99,1,29,4,1,4,5,2006,5,21,2
"4105",4105,15,2,5,21,4,11,1101,1,1,9,999,12,9,99,99,9999,5,99,9
