"","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","estado_pil","tipo_v","color_v","modelo_v","causa_ac"
"1727",16,9,4,7,17,2,99,1,27,1,4,99,9999,2
"1728",22,2,1,11,8,2,99,2,50,9,4,3,9999,4
"1729",16,8,1,13,20,2,99,1,35,1,3,2,2009,1
"1730",16,12,4,14,13,2,99,1,25,1,3,5,9999,1
"1731",16,5,7,15,22,2,99,1,27,1,1,6,1995,2
"1732",21,10,4,17,13,2,99,1,26,2,4,6,2008,1
"1733",21,6,1,18,9,1,5,1,999,1,3,3,9999,4
"1734",10,4,6,19,17,2,99,1,72,1,4,1,9999,1
"1735",19,11,5,19,10,2,99,1,25,1,3,2,2009,1
"1736",16,3,2,20,1,1,14,1,33,9,4,1,9999,1
"1737",23,1,6,21,1,1,3,1,20,1,1,6,9999,1
"1738",17,7,6,23,10,1,1,1,17,1,4,4,2007,1
"1739",22,2,1,7,2,2,99,9,999,9,3,1,9999,1
"1740",17,7,6,14,5,2,99,2,38,1,1,5,2004,2
"1741",16,9,4,15,19,2,99,2,17,1,3,5,9999,1
"1742",21,10,4,15,18,2,99,1,37,9,3,6,9999,1
"1743",23,1,6,17,1,1,15,1,24,9,2,6,2006,1
"1744",16,3,2,17,1,1,11,1,999,9,3,5,9999,1
"1745",19,11,5,19,10,2,99,1,22,1,14,1,9999,1
"1746",16,12,4,19,17,2,99,9,999,9,1,6,9999,1
"1747",10,4,6,20,14,2,99,1,19,1,4,1,9999,1
"1748",16,5,7,21,5,2,99,1,27,1,3,6,9999,1
"1749",16,8,1,22,10,2,99,1,999,2,2,5,9999,1
"1750",21,6,1,23,9,1,7,1,35,2,9,4,9999,1
"1751",19,11,5,0,19,2,99,1,22,1,4,99,9999,1
"1752",16,3,2,0,20,1,99,1,21,9,3,6,1994,3
"1753",16,9,4,2,12,2,99,1,58,1,3,99,9999,1
"1754",16,5,7,3,5,2,99,1,29,2,4,5,9999,2
"1755",10,4,6,9,7,2,99,1,45,1,6,3,9999,4
"1756",16,12,4,9,14,2,99,1,58,2,3,6,1995,2
"1757",22,10,5,15,1,1,99,1,40,9,4,99,9999,1
"1758",22,2,1,17,14,1,99,1,19,9,4,5,9999,1
"1759",17,7,6,18,5,1,1,1,55,1,3,2,2009,1
"1760",23,1,6,21,1,1,4,1,34,2,3,2,2006,3
"1761",16,8,1,22,9,2,99,1,27,2,1,4,1997,2
"1762",21,6,1,23,12,2,99,1,17,2,14,1,2009,4
"1763",21,6,1,1,8,2,99,1,41,2,3,1,9999,4
"1764",17,9,5,4,1,2,99,1,29,1,3,4,9999,1
"1765",17,7,6,5,9,2,99,1,21,2,1,8,1986,2
"1766",16,8,1,7,12,2,99,1,42,1,1,11,9999,1
"1767",19,11,5,7,5,2,99,9,999,9,3,99,9999,1
"1768",16,12,4,14,7,2,99,1,31,2,1,3,2000,2
"1769",16,3,2,16,20,2,99,2,25,9,3,99,9999,3
"1770",22,2,1,17,3,2,99,1,21,9,4,1,9999,1
"1771",22,10,5,17,22,2,99,1,22,1,4,1,9999,1
"1772",10,4,6,19,3,2,99,1,24,2,1,14,2004,2
"1773",23,1,6,20,21,2,99,1,30,2,3,99,9999,3
"1774",16,5,7,22,5,2,99,1,18,1,4,99,9999,4
"1775",17,12,5,1,1,1,6,1,22,9,1,4,1999,1
"1776",22,10,5,3,12,2,99,1,38,1,9,3,9999,1
"1777",17,7,6,8,9,2,99,1,28,2,4,5,9999,2
"1778",23,1,6,16,5,2,99,1,40,9,3,5,9999,1
"1779",21,6,1,16,18,2,99,1,26,1,4,1,2009,1
"1780",16,8,1,18,15,2,99,1,21,1,4,1,1982,1
"1781",19,11,5,18,6,2,99,9,999,9,3,99,9999,1
"1782",16,3,2,20,5,2,99,1,23,9,1,4,9999,2
"1783",22,2,1,22,1,1,10,1,42,9,1,1,9999,1
"1784",11,4,7,22,1,1,9,1,48,1,10,99,9999,1
"1785",17,9,5,22,1,1,12,1,21,1,4,1,9999,1
"1786",16,5,7,23,16,2,99,1,29,2,4,99,9999,4
"1787",17,9,5,0,1,1,99,1,44,1,2,11,2006,1
"1788",17,12,5,0,1,1,13,1,18,2,4,3,2007,2
"1789",22,10,5,1,7,2,99,1,33,1,3,4,9999,1
"1790",11,4,7,8,1,1,1,1,23,1,12,1,9999,1
"1791",16,5,7,15,18,2,99,1,28,1,99,99,9999,4
"1792",16,3,2,17,6,2,99,1,26,9,3,4,9999,4
"1793",18,7,7,20,1,1,9,1,31,9,4,5,9999,1
"1794",16,8,1,20,17,2,99,2,33,1,4,99,9999,4
"1795",22,2,1,21,1,1,7,1,47,9,4,3,9999,1
"1796",21,6,1,21,17,2,99,1,23,2,14,1,2010,1
