"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","g_hora","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_2","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","g_edad","Fallecidos_Lesionados","Otro_g_edad_fall_les"
"6851",6851,15,3,5,11,2,20,2001,2,0,1,45,6,1,4,99,6,5,99,8,2,5
"6852",6852,15,3,5,11,2,20,2001,2,0,1,21,4,1,4,99,6,5,99,3,2,3
"6853",6853,15,3,5,22,4,20,2001,2,0,1,21,4,1,99,99,6,5,99,3,2,3
"6854",6854,15,3,5,22,4,20,2001,2,0,1,20,4,1,99,99,6,5,99,3,2,3
"6855",6855,15,3,5,11,2,12,1219,2,0,1,9,3,2,2,3,3,5,37,1,2,2
"6856",6856,15,3,5,11,2,12,1219,2,0,1,17,4,2,2,3,3,5,37,2,2,3
"6857",6857,15,3,5,12,3,17,1701,2,0,2,83,8,1,99,99,6,5,99,10,2,7
"6858",6858,15,3,5,21,4,7,701,2,0,1,999,9,1,99,99,6,5,99,11,1,8
"6859",6859,15,3,5,19,4,7,701,2,0,2,64,8,1,99,99,6,5,99,10,1,6
"6860",6860,16,3,6,23,4,1,101,1,18,1,27,5,1,99,99,6,5,99,4,2,3
"6861",6861,16,3,6,13,3,1,101,1,7,1,999,9,1,1,8,2,5,37,11,2,8
"6862",6862,16,3,6,16,3,20,2001,2,0,1,38,5,1,99,99,6,5,99,6,1,4
"6863",6863,16,3,6,16,3,5,501,2,0,1,46,6,1,99,2,5,5,46,8,1,5
"6864",6864,16,3,6,20,4,10,1001,2,0,2,35,5,1,6,99,6,5,99,6,1,4
"6865",6865,16,3,6,14,3,12,1201,2,0,1,999,9,1,99,99,6,5,99,11,1,8
"6866",6866,16,3,6,15,3,12,1201,2,0,1,37,5,1,99,99,6,5,99,6,1,4
"6867",6867,16,3,6,7,2,17,1701,2,0,1,48,6,1,99,99,6,5,99,8,1,5
"6868",6868,16,3,6,17,3,4,401,2,0,2,5,3,2,99,99,6,5,99,1,2,2
"6869",6869,17,3,7,18,4,1,101,1,1,1,999,9,1,99,99,6,5,99,11,2,8
"6870",6870,17,3,7,19,4,1,101,1,3,1,999,9,1,99,99,6,5,99,11,2,8
